catalognumber,stateprovince,county,locality,longitude_mun,latitude_mun,yearcollected,collector,institutioncode
8475,MG,Belo Horizonte,FZB-BH - Jardim Botânico - Coleção Cerrado,-43.937801361084,-19.9207992553711,2012,"Ferreira Junior, C.A. et al.",FZB-BH
1585,Minas Gerais,Santana do Riacho,Área da nova estrada que liga Santana do Riacho a Serro.,-43.7144012451172,-19.1688995361328,2011,"Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis",FZB-BH
3484,Minas Gerais,Conceição do Mato Dentro,Estrada da cachoeira do Tabuleiro,-43.4249992370605,-19.0372009277344,2014,Lucas Assis; Kelen Soares,FZB-BH
1586,Minas Gerais,Santana do Riacho,Área da nova estrada que liga Santana do Riacho a Serro.,-43.7144012451172,-19.1688995361328,2011,"Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis",FZB-BH
1587,Minas Gerais,Santana do Riacho,Área da nova estrada que liga Santana do Riacho a Serro.,-43.7144012451172,-19.1688995361328,2011,"Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis",FZB-BH
3439633,Minas Gerais,Diamantina,Estrada Diamantina-Milho Verde,-43.6002998352051,-18.2493991851807,1997,"R. C. Forzza, A. Marcato, N. Roque & A. Marcato",US
2700855,Minas Gerais,Jaboticatubas,Serra do Cipó,-43.7449989318848,-19.513599395752,1972,G. Hatschbach,US
1801968,Minas Gerais,Jaboticatubas,"Serra do Cipó, north of Belo Horizonte",-43.7449989318848,-19.513599395752,1940,-. Mulford & R. Foster,US
3439636,Minas Gerais,Joaquim Felício,Serra do Cabral,-44.2919,-17.6989,1998,"R. C. Forzza, J. R. Pirani, A. Marcato, M. Meguro & A. Rapini",US
20324,Minas Gerais,Serro,NA,-43.3793983459473,-18.604700088501,1995,"Souza, V.C. et al.",ESALQ
34289,Minas Gerais,Jequitaí,Fazenda Belgo Minas,-44.4455986022949,-17.2355995178223,2010,"Guarçoni, E.; Sartori, M. .A.",UFV
34290,Minas Gerais,Jequitaí,Fazenda Belgo Minas,-44.4455986022949,-17.2355995178223,2010,"Guarçoni, E.; Sartori, M. .A.",UFV
34291,Minas Gerais,Jequitaí,Fazenda Belgo Minas,-44.4455986022949,-17.2355995178223,2010,"Guarçoni, E.; Sartori, M. .A.",UFV
34292,Minas Gerais,Jequitaí,Fazenda Belgo Minas,-44.4455986022949,-17.2355995178223,2010,"Guarçoni, E.; Sartori, M. .A.",UFV
34293,Minas Gerais,Buenópolis,"Serra do Cabral, Fazenda Bimbarra, Capão do Gato, 1245 m de altitude.",-44.1800003051758,-17.8733005523682,2010,"Guarçoni, E.",UFV
