gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
2817899670																										BRA:MN:R:193236									pt	CC_BY_NC_4_0			2021-02-26T15:30:05Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:193236	193236		Heringer, E.P. 22250; Castellanos, A.									PRESENT							Horto Florest.Paraopeba.Minas Gerais. nº 6.087												1958-03-04T00:00:00				1958	3	4																BR	Minas Gerais			Serra do Cipó																																													Forzza, R.C.	1997-10-09T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:28.184Z							INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		false	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:28.184Z	2021-03-28T18:00:59.022Z	false												
2817899651																										BRA:MN:R:193231									pt	CC_BY_NC_4_0			2021-02-26T15:30:05Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:193231	193231	7036	Smith, L.B.									PRESENT																			1952-03-29T00:00:00				1952	3	29																BR	Minas Gerais		Jaboticatubas																																																											Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:28.170Z							INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		false	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:28.170Z	2021-03-28T18:00:59.022Z	false												
2817898812																										BRA:MN:R:116367									pt	CC_BY_NC_4_0			2021-02-26T15:30:05Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:116367	116367		Mello Filho, L.E. 2234; Andrade, A.G. 2138 ; Nobre de Mello & Lessa, E.									PRESENT																			1966-07-24T00:00:00				1966	7	24																BR	Minas Gerais			Serra do Cipó																																													Forzza, R.C.	1997-10-09T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:25.005Z							INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		false	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:25.005Z	2021-03-28T18:00:59.022Z	false												
2817898304																										BRA:MN:R:111018									pt	CC_BY_NC_4_0			2021-02-26T15:30:05Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:111018	111018		Smith, L.B. 6881; Segadas-Vianna, F.; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.									PRESENT																			1952-03-29T00:00:00				1952	3	29																BR	Minas Gerais		Jaboticatubas	Serra do Cipó								-19.166667	-43.583333																																				Forzza, R.C.	1997-10-09T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:23.069Z	1200.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		true	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:23.069Z	2021-03-28T18:00:59.022Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.701_1	Santana do Riacho	BRA.13.701.1_1	Cardeal Mota	
2817898303																										BRA:MN:R:111017									pt	CC_BY_NC_4_0			2021-02-26T15:30:05Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:111017	111017		Smith, L.B. 7036; Segadas-Vianna, F.; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.									PRESENT																			1952-03-29T00:00:00				1952	3	29																BR	Minas Gerais		Jaboticatubas	Serra do Cipó								-19.666667	-43.95																																				Forzza, R.C.	2001-01-01T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:23.071Z	1000.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		true	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:23.071Z	2021-03-28T18:00:59.022Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.199_1	Confins	BRA.13.199.1_1	Confins	
2642703777																										BRA:MN:R:234492									pt	CC_BY_NC_4_0			2021-01-14T18:25:52Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:234492	234492		Pangaio, L. 1119; Pereira, M.C.A. & Souza, K.									PRESENT																			2007-08-02T00:00:00				2007	8	2																BR	Minas Gerais		Buenópolis	Serra do Cabral. Região da Lapa Pintada III (em frente à Lapa Pintada).								-17.918056	-44.250833																																				Forzza, R.C.	2008-01-01T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:24.534Z							GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		true	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:24.534Z	2021-03-28T18:00:59.022Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.98_1	Buenópolis	BRA.13.98.1_1	Buenópolis	
2642703776																										BRA:MN:R:234493									pt	CC_BY_NC_4_0			2021-01-14T18:25:52Z								R - Herbário do Museu Nacional							Collection					MN	R	R - Herbário do Museu Nacional	Universidade Federal do Rio de Janeiro	PRESERVED_SPECIMEN				BRA:MN:R:234493	234493		Pangaio, L. 1110; Pereira, M.C.A. & Souza, K.									PRESENT																			2007-08-01T00:00:00				2007	8	1																BR	Minas Gerais		Buenópolis	Serra do Cabral. Região do Tanque (no afloramento rochoso).								-17.887222	-44.333333																																				Forzza, R.C.	2008-01-01T00:00:00												Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cd6905cf-54d7-4628-b762-f63d269e239b	BR	2021-03-30T12:45:24.534Z							GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION		true	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:24.534Z	2021-03-28T18:00:59.022Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.438_1	Lassance	BRA.13.438.1_1	Lassance	
2625883738																										http://n2t.net/ark:/65665/38da98a35-c181-46ef-85f0-9a93c4fde2b0										CC0_1_0																		PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:34871			US	Botany	NMNH Extant Biology		PRESERVED_SPECIMEN				http://n2t.net/ark:/65665/38da98a35-c181-46ef-85f0-9a93c4fde2b0	3724935	27	F. Santos Silva, R. Ribeiro & R. F. Monteiro	1								PRESENT																																				South America - Neotropics, Brazil, Minas Gerais	SOUTH_AMERICA				BR	Minas Gerais			Diamantina. Estrada Serro-Diamantina, cerca de 40 Km de Diamantina, perto da placa de Nascente do Rio Jequintinhonha.																																																										Encholirium subsecundum (Baker) Mez							Plantae, Monocotyledonae, Poales, Bromeliaceae, Pitcairnioideae	Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			821cc27a-e3bb-4bc5-ac34-89ada245069d	US	2021-03-30T11:28:17.832Z							OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		false	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T11:28:17.832Z	2021-03-29T08:59:35.763Z	true												
2575906303																										BRA:UFSC:FLOR:45695									pt	CC_BY_NC_4_0			2020-08-20T17:58:50Z								FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina							Collection					Universidade Federal de Santa Catarina	FLOR	FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina	Universidade Federal de Santa Catarina	PRESERVED_SPECIMEN				BRA:UFSC:FLOR:45695	45695	1418	França, F.; et alii									PRESENT							erva rupícola. Erva rupícula em populações densas 1,5m de diametro. Bainha com base branca o resto marrom. Folha verde claro com escamas prateadas. Limbo com ornamentações formadas pelo espinho da margem formando desenhos em baixo rel												1995-11-25T00:00:00				1995	11	25																BR	Bahia		Itatim	Morro das Tocas.								-12.716667	-39.7																																																	Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			121275a3-dcce-44f4-9868-37326e9f64ef	BR	2021-03-30T09:41:56.739Z	310.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T09:41:56.739Z	2021-03-25T15:32:38.304Z	false				BRA	Brazil	BRA.5_1	Bahia	BRA.5.200_1	Itatim	BRA.5.200.1_1	Itatim	
2459874691																										BRA:ESALQ:ESA:20324									pt	CC_BY_NC_4_0			2020-11-04T14:03:56Z								ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz							Collection					Universidade de São Paulo	ESA	ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz	Universidade de São Paulo	PRESERVED_SPECIMEN				BRA:ESALQ:ESA:20324	20324	8315.0	Souza, V.C. et al.									PRESENT																			1995-03-11T00:00:00				1995	3	11																BR	Minas Gerais		Serro																																														Forzza, R.C.													Encholirium subsecundum (Baker) Mez								Plantae	Tracheophyta	Liliopsida	Poales	Bromeliaceae	Encholirium		subsecundum		SPECIES				ACCEPTED			cbf8c968-37d6-45be-bf5c-e22914a384dc	BR	2021-03-30T12:45:29.451Z							AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	2696594	2696594	6	7707728	196	1369	3740	2696575		2696594	Encholirium subsecundum	Encholirium	Encholirium subsecundum (Baker) Mez	Encholirium subsecundum		DWC_ARCHIVE	2021-03-30T12:45:29.451Z	2021-03-25T15:06:15.525Z	false												
