"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Coordinates dont match supplied country","Country inferred from coordinates","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised","Supplied coordinates are zero","Zero latitude","Zero longitude"
"b2636830-635e-4d43-b116-4ac1a5d8fa34","dr324","Base de dados repatriados do tropicos.org","","","","","CC0","3000917","314074","Encholirium subsecundum Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","MO","MO","Outcrops in campo. Disturbed slope forest and adjacent rocky campo, Serra do Espinhaço at Lapinha, ca. 20 km N. of Sêrro on road (MG 2) to Diamantina.","","","","","","","Brazil","","","","","","1","1968","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","F. Santos-Silva (RB)","2013-01-01","Irwin 20848","","","true","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"a1682f5e-8ef0-4862-8f51-ce7c0b11119f","dr286","Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","in72","Instituto de Botânica de São Paulo","co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","CC-BY-NC 4.0 (Int)","179858","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Instituto de Botânica","SP","Serra do Cipó, Km 106 ao longo da Rodovia Belo Horizonte - Conceição do Mato Dentro. Estrada da Usina. 8km da pousada.","","","","","","","Brasil","","","","","","","1982","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Lewis, G; et al.","Forzza, RC","2001-01-01","CFSC7755","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"9c2acf50-baf8-4b5c-afee-ac3c76f113d0","dr263","Herbário da Escola Superior de Agricultura Luiz de Queiroz","in51","Escola Superior de Agricultura Luiz de Queiroz","co142","Herbário da ESALQ","CC-BY-NC 4.0 (Int)","100957","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Universidade de São Paulo","ESA","","","","","","","","Brasil","","","","","","","2007","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Zappi, D.C.","","","802.0","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"9b92c4d0-e1c8-4250-99ec-d43acb9a6ace","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00641816","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","","","","","","","","Brasil","","","","","","","1942","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Walter Egler","R.C. Forzza","2001-01-01","","","","true","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"84b060a9-8594-4456-ac4e-4e1a26e8bb57","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00515496","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Santana do Pirapama. Fazenda Toucan Cipó, estrada para a captação.Serra do Cipó.","-19.0061111","-43.7555556","","-19.0061111","-43.7555556","","Brasil","","930.0","930.0","","","","2007","02","PreservedSpecimen","PreservedSpecimen","present","","true","true","D.C. Zappi; E. Miranda, V. C. Souza, J. P. Souza, J. G. Rando, M. Pinho-Ferreira, G. O. Romão, D. J. N. Hind, L. V. S. Jennings","-43.7555556","","802","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"6f2ca3a2-2b44-4b96-9f5a-e6bca73af677","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB01045027","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Campos Rupestres, estrada para Vila Biribiri, Cachoeira da Sentinela. Parque Estadual de Biribiri","-18.1919444","-43.6280556","","-18.1919444","-43.6280556","","Brasil","","","","","","","2014","02","PreservedSpecimen","PreservedSpecimen","present","","true","true","G. Martinelli; E. Martins, N. Pougy, D. Maurenza & M.Verdi","Rafaela Campostrini Forzza","2016-01-01","18163","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false"
"6aff5593-78d7-40a8-90d3-495e85b0a739","dr286","Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","in72","Instituto de Botânica de São Paulo","co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","CC-BY-NC 4.0 (Int)","179858A","314074","Encholirium subsecundum","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","Instituto de Botânica","SP","Serra do Cipó, Km 106 ao longo da Rodovia Belo Horizonte - Conceição do Mato Dentro. Estrada da Usina. 8km da pousada.","","","","","","","Brasil","","","","","","","1982","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Lewis, G; et al.","Forzza, RC","2001-01-01","CFSC7755","","","true","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false"
"5d7a6f5d-8c67-4561-88bf-31985c3cfa4c","dr277","Base de dados do Herbário Leopoldo Krieger","in46","Universidade Federal de Juiz de Fora","co154","Herbário Leopoldo Krieger","CC-BY-NC","10170","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","UFJF","CESJ","","0","0","","","","","","","-9999.0","0.0","","","","1971","02","PreservedSpecimen","PreservedSpecimen","present","","true","","Pedro Ivo","G. Martinelli","","s.n.","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","true","true"
"41f1e272-586e-45eb-b97b-f26d65575a15","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB01045080","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","JBRJ","RB","Estrada São Gonçalo das Pedras-Diamantina.","-18.3550000","-43.5527778","","-18.355","-43.5527778","","Brasil","","","","","","","2014","02","PreservedSpecimen","PreservedSpecimen","present","","true","true","G. Martinelli; E. Martins, N. Pougy, D. Maurenza & M. Verdi","Rafaela Campostrini Forzza","2016-01-01","18213","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","true","false","false","false"
"346b1bc0-605d-41da-93af-277fcee832ed","dr277","Base de dados do Herbário Leopoldo Krieger","in46","Universidade Federal de Juiz de Fora","co154","Herbário Leopoldo Krieger","CC-BY-NC","10180","314074","Encholirium subsecundum (Baker) Mez","","Encholirium subsecundum","species","","Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Encholirium","Encholirium subsecundum","UFJF","CESJ","Serra do Cipó","0","0","","","","","","","-9999.0","0.0","","","","1971","02","PreservedSpecimen","PreservedSpecimen","present","","true","","L. Krieger","R.C. Forzza","2016-01-01","CESJ10180","","","true","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true","true","true"
