Especie,Longitude,Latitude
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.6,-19.26667
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.7454,-19.5221
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.74472,-19.51361
Lonchophylla bokermanni,-43.6,-19.27
Lonchophylla bokermanni,-43.349444,-19.410278
Lonchophylla bokermanni,-43.516667,-18.383333
Lonchophylla bokermanni,-43.383333,-18.383333
Lonchophylla bokermanni,-42.5,-14.266667
Lonchophylla bokermanni,-41.083333,-11.083333
