"species","x","y"
"Solanum acaule Bitter",-66.1,-21.9
"Solanum acaule f. acaule",-65.1333,-22.2666
"Solanum acaule f. acaule",-65.7,-23.2166
"Solanum acaule f. acaule",-65.2,-23.5833
"Solanum acaule f. acaule",-67.6166,-17.1166
"Solanum acaule f. acaule",-67.4833,-17.5333
"Solanum acaule f. acaule",-65.2166,-22.25
"Solanum acaule f. acaule",-65.6333,-23.95
"Solanum acaule f. acaule",-67.6833,-28.95
"Solanum acaule f. acaule",-65.1,-23.6333
"Solanum acaule f. acaule",-65.7166,-21.45
"Solanum acaule f. acaule",-71.4333,-15.65
"Solanum acaule f. acaule",-64.8666,-22.2833
"Solanum acaule f. acaule",-65.0833,-21.75
"Solanum acaule f. acaule",-68.8166,-16.5833
"Solanum acaule Bitter",-65.17,-19
"Solanum acaule Bitter",-68.97,-15.23
"Solanum acaule Bitter",-67.13,-16.88
"Solanum acaule Bitter",-65.25,-19.18
"Solanum acaule Bitter",-71.62,-13.68
"Solanum acaule Bitter",-66.13,-17.38
"Solanum acaule Bitter",-65.63,-23.68
"Solanum acaule Bitter",-68,-17
"Solanum acaule Bitter",-68.67,-16.55
"Solanum acaule f. acaule",-65.48333,-22.13333
"Solanum acaule f. acaule",-76.28333,-11.3
"Solanum acaule f. acaule",-65.7,-22.11667
"Solanum acaule f. acaule",-66.05,-21.95
"Solanum acaule f. acaule",-65.86667,-25.16667
"Solanum acaule f. acaule",-64.86667,-22.26667
"Solanum acaule f. acaule",-66.2,-22.21667
"Solanum acaule f. acaule",-65.1,-23.63333
"Solanum acaule f. acaule",-65.9,-25.11667
"Solanum acaule f. acaule",-65.65,-24.08333
"Solanum acaule f. acaule",-65.2,-23.58333
"Solanum acaule f. acaule",-65.81667,-22.1
"Solanum acaule f. acaule",-65.43333,-22.96667
"Solanum acaule f. acaule",-66.9,-23.06667
"Solanum acaule f. acaule",-66.03333,-21.88333
"Solanum acaule f. acaule",-65.56667,-24.61667
"Solanum acaule f. acaule",-65.31667,-22.93333
"Solanum acaule f. acaule",-66.1,-24.31667
"Solanum acaule f. acaule",-65.9,-25.28278
"Solanum acaule f. acaule",-65.71667,-17.43333
"Solanum acaule f. acaule",-66.65,-18.38333
"Solanum acaule f. acaule",-66.03333,-22.28333
"Solanum acaule f. acaule",-66.35,-22.25
"Solanum acaule f. acaule",-70.75,-14.75
"Solanum acaule f. acaule",-65.28333,-22.23333
"Solanum acaule f. acaule",-65.05,-22.2
"Solanum acaule f. acaule",-65.7,-22.11667
"Solanum acaule f. acaule",-65.31667,-22.93333
"Solanum acaule f. acaule",-65.21667,-23.58333
"Solanum acaule f. acaule",-65.05,-23.16667
"Solanum acaule Bitter",-72.5,-12.5
"Solanum acaule f. acaule",-66.5,-17.1667
"Solanum acaule f. acaule",-64.8667,-22.2833
"Solanum acaule f. acaule",-67.7,-28.9667
"Solanum acaule f. acaule",-65.1167,-22.4
"Solanum acaule f. acaule",-65.1333,-22.2667
"Solanum acaule f. acaule",-66.3167,-22.25
"Solanum acaule f. acaule",-67.5333,-17.7667
"Solanum acaule f. acaule",-66.15,-21.9167
"Solanum acaule f. acaule",-66.5333,-17.6667
"solanum acaule acaule",-69.75,-15.19
"solanum acaule acaule",-70.75,-14.75
"solanum acaule acaule",-77.6552,-7.9902
"solanum acaule acaule",-69.5513,-15.1182
"solanum acaule acaule",-68.867,-16.217
"solanum acaule acaule",-76.3,-76.3
"solanum acaule acaule",-77.18,-10.07
"solanum acaule acaule",-70.78,-14.6
"solanum acaule acaule",-71.1305,-15.5575
"solanum acaule acaule",-72.0419,-14.2822
"solanum acaule acaule",-65.717,-21.45
"solanum acaule acaule",-68.033,-16.55
"solanum acaule acaule",-69.8833,-15.8833
"solanum acaule acaule",-70.2494,-17.2677
"solanum acaule acaule",-66.333,-18.283
"solanum acaule acaule",-77.033,-9.4
"solanum acaule acaule",-68.5666,-16.1666
"solanum acaule acaule",-71.65,-15.12
"solanum acaule acaule",-68.15,-16.5
"solanum acaule acaule",-70.78,-14.6
"solanum acaule acaule",-69.067,-15.75
"solanum acaule acaule",-65.883,-18.8
"solanum acaule acaule",-73.75,-14.6333
"solanum acaule acaule",-77.3,-9.8166
"solanum acaule acaule",-70.1229,-15.6918
"solanum acaule acaule",-67.7,-17.117
"solanum acaule acaule",-74.3333,-13.45
"solanum acaule acaule",-66.05,-17.25
"solanum acaule acaule",-74.12,-14.68
"solanum acaule acaule",-69.08,-16.23
"solanum acaule acaule",-67.4,-17.1
"solanum acaule acaule",-74.12,-14.68
"solanum acaule acaule",-76.05,-10.91
"solanum acaule acaule",-70.2666,-15.5333
"solanum acaule acaule",-70.3645,-14.4892
"solanum acaule acaule",-74.3666,-15.3666
"solanum acaule acaule",-69.0833,-14.75
"solanum acaule acaule",-68.5666,-16.1666
"solanum acaule acaule",-73.2758,-13.8255
"solanum acaule acaule",-69.35,-15.01
"solanum acaule acaule",-69.35,-15.01
"solanum acaule acaule",-67.15,-17.367
"solanum acaule acaule",-66.05,-17.233
"solanum acaule acaule",-74.1561,-14.7019
"solanum acaule acaule",-69.0666,-15.4
"solanum acaule acaule",-71.45,-14.73
"solanum acaule acaule",-68.917,-15.733
"solanum acaule acaule",-75.89,-11.51
"solanum acaule acaule",-69.8833,-15.15
"solanum acaule acaule",-75.433,-11.7
"solanum acaule acaule",-70.9233,-14.5097
"solanum acaule acaule",-69.5513,-15.1182
"solanum acaule acaule BITTER",-69.8833,-15.15
"solanum acaule acaule BITTER",-77.3,-9.8166
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-65.667,-19.633
"solanum acaule acaule BITTER",-65.02,-21.85
"solanum acaule acaule BITTER",-77.43,-9.75
"solanum acaule acaule BITTER",-74.3666,-15.3666
"solanum acaule acaule BITTER",-73.75,-14.6333
"solanum acaule acaule BITTER",-65.05,-21.517
"solanum acaule acaule BITTER",-70.9233,-14.5097
"solanum acaule acaule BITTER",-70.78,-14.6
"solanum acaule acaule BITTER",-66.05,-17.233
"solanum acaule acaule BITTER",-71.6027,-13.955
"solanum acaule acaule BITTER",-68.867,-16.217
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-69.5513,-15.1182
"solanum acaule acaule BITTER",-74.12,-14.68
"solanum acaule acaule BITTER",-69.45,-16.21
"solanum acaule acaule BITTER",-70.78,-14.6
"solanum acaule acaule BITTER",-69.75,-15.19
"solanum acaule acaule BITTER",-73.5786,-15.5283
"solanum acaule acaule BITTER",-69.5513,-15.1182
"solanum acaule acaule BITTER",-69.0666,-15.4
"solanum acaule acaule BITTER",-69.067,-15.75
