"species","x","y"
"solanum acaule acaule",-74.34,-13.2652
"solanum acaule acaule BITTER",-71.0463,-14.4747
"Solanum acaule f. acaule",-66.38333,-22.23333
"solanum acaule acaule BITTER",-71.35,-15.98
"Solanum acaule f. acaule",-66.11667,-24.31667
"Solanum acaule f. acaule",-65.26667,-23.56667
"Solanum acaule f. acaule",-67.05,-17.61667
"Solanum acaule Bitter",-65.23,-22.4
"solanum acaule acaule BITTER",-69.5513,-15.1182
"Solanum acaule Bitter ssp. acaule",-65.68,-23.21
"Solanum acaule f. acaule",-65.28333,-22.23333
"Solanum acaule subsp. aemulans",-65.16667,-23.58333
"solanum acaule acaule",-76.5769,-11.4058
"Solanum acaule f. acaule",-65.71667,-21.45
"Solanum acaule f. acaule",-65.7167,-21.45
"Solanum acaule f. acaule",-65.8666,-25.1666
"solanum acaule acaule BITTER",-67.083,-18
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule f. acaule",-65.1,-23.63333
"solanum acaule acaule BITTER",-76.7661,-10.5744
"solanum acaule acaule BITTER",-76.3,-12.2
"solanum acaule acaule",-65.05,-21.517
"Solanum acaule subsp. punae",-75.3667,-11.6
"solanum acaule acaule BITTER",-76.62,-11.8
"solanum acaule acaule BITTER",-66.05,-17.233
"Solanum acaule f. acaule",-66.93333,-17.96667
"Solanum acaule f. acaule",-64.95,-23.16667
"Solanum acaule f. acaule",-65.16667,-23.1
"Solanum acaule subsp. aemulans",-65.21667,-23.58333
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-67.85,-17.03333
"Solanum acaule f. acaule",-66.0333,-24.5
"solanum acaule acaule BITTER",-66.533,-17.667
"Solanum acaule Bitter",-65.75,-19.58
"solanum acaule acaule BITTER",-67.7,-17.117
"Solanum acaule f. acaule",-68.85,-17.03333
"Solanum acaule f. acaule",-66.95,-18.6333
"Solanum acaule f. acaule",-65.2,-23.5833
"Solanum acaule f. acaule",-65.33333,-23.58333
"solanum acaule acaule",-69.5513,-15.1182
"solanum acaule acaule",-70.7719,-15.7477
"Solanum acaule f. acaule",-65.25,-22.2166
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule Bitter",-66.13,-17.38
"solanum acaule acaule",-74.12,-14.68
"Solanum acaule f. acaule",-66.1167,-21.8833
"solanum acaule acaule BITTER",-66.467,-17.667
"Solanum acaule f. acaule",-68.85,-15.71667
"solanum acaule acaule BITTER",-68.7,-16.0333
"Solanum acaule f. acaule",-66.1833,-21.8833
"Solanum acaule subsp. aemulans",-65.2833,-23.7166
"solanum acaule acaule",-70.033,-15.833
"solanum acaule acaule BITTER",-71.0497,-15.0319
"Solanum acaule f. acaule",-66.5,-17.1667
"Solanum acaule f. acaule",-67.6166,-18.15
"Solanum acaule f. acaule",-76.63333,-11.41667
"Solanum acaule subsp. aemulans",-67.7,-28.9666
"Solanum acaule f. acaule",-65.75,-26.7667
"solanum acaule acaule",-68.7667,-16.0167
"Solanum acaule f. acaule",-71.4,-14.4833
"Solanum acaule f. acaule",-65.5833,-23.9166
"solanum acaule acaule BITTER",-69.0833,-14.75
"Solanum acaule f. acaule",-65.6666,-24.1
"Solanum acaule Bitter",-68.03,-16.37
"Solanum acaule f. acaule",-65.2,-22.26667
"Solanum acaule f. acaule",-71.0666,-14.4666
"solanum acaule acaule",-68.49,-16.84
"solanum acaule acaule",-76.7661,-10.5744
"solanum acaule acaule",-73.0952,-13.6488
"Solanum acaule Bitter",-65.23,-21.8
"Solanum acaule f. acaule",-65.03333,-22.15
"solanum acaule acaule BITTER",-67.333,-17.083
"Solanum acaule f. acaule",-65.11667,-23.11667
"solanum acaule acaule",-75.7811,-12.7305
"solanum acaule acaule",-67.8,-17.2
