ID,Estado,Municipio,Localidade,Longitude,Latitude,Data_de_coleta,Nome_do_coletor,Referencia
1183,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1987-02-01,Ivan Sazima,ZUEC-MAM - Coleção de Mamíferos do Museu de Zoologia da UNICAMP
160,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974-10-26,Otávio Cardozo de Oliveira; Ivan Sazima,TTU Mammals Collection
161,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974-10-26,Otávio Cardozo de Oliveira; Ivan Sazima,TTU Mammals Collection
586,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1976-09-05,Wilson Uieda; Atílio Storti Filho,ZUEC-MAM - Coleção de Mamíferos do Museu de Zoologia da UNICAMP
43627,Minas Gerais,NA,SERRA DO CIPO,-43.60000,-19.26667,1974-10-26,"SAZIMA, I AND OLIVEIRA, D C; SAZIMA, I",ZUEC-MAM - Coleção de Mamíferos do Museu de Zoologia da UNICAMP
10342,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",Coleção de Quirópteros DZSJRP - Chiroptera Universidade Estadual Paulista
10343,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",Coleção de Quirópteros DZSJRP Chiroptera Universidade Estadual Paulista
10344,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",Coleção de Quirópteros DZSJRP Chiroptera Universidade Estadual Paulista
10347,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",Coleção de Quirópteros DZSJRP-Chiroptera Universidade Estadual Paulista
10408,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1975,"Oliveira, O.C. & Semir, J.",Coleção de Quirópteros DZSJRP -Chiroptera Universidade Estadual Paulista
11410,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",Coleção de Quirópteros DZSJRP-Chiroptera Universidade Estadual Paulista
11411,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",Coleção de Quirópteros DZSJRP-Chiroptera Universidade Estadual Paulista
17594,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",Coleção de Quirópteros - Universidade Estadual Paulista
160,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974,Otávio Cardozo de Oliveira; Ivan Sazima,Coleção de Mamíferos do Museu de Zoologia da UNICAMP - ZUEC-MAM Universidade Estadual de Campinas
1183,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 111",-43.74472,-19.51361,1987,Ivan Sazima,Coleção de Mamíferos do Museu de Zoologia da UNICAMP - ZUEC-MAM Universidade Estadual de Campinas
586,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 112",-43.74472,-19.51361,1976,Wilson Uieda; Atílio Storti Filho,Coleção de Mamíferos do Museu de Zoologia da UNICAMP - ZUEC-MAM Universidade Estadual de Campinas
161,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 113",-43.74472,-19.51361,1974,Otávio Cardozo de Oliveira; Ivan Sazima,Coleção de Mamíferos do Museu de Zoologia da UNICAMP - ZUEC-MAM Universidade Estadual de Campinas
0000012,Minas Gerais,Jaboticatubas,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 114",-43.74472,-19.51361,1974,Ivan Sazima,Coleção de Fotos do Museu de Zoologia da UNICAMP - ZUEC-PIC Universidade Estadual de Campinas
ZUEC 160,Minas Gerais,Jaboticatubas,Serra do Cipó,-43.600000,-19.270000,1974,Sazima,"Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1978"
