ID,Estado,Municipio,Localidade,Longitude,Latitude,Data_de_coleta,Nome_do_coletor,Referencia
00008,Rio de Janeiro,NA,Reserva Biológica União,-42.02808,-22.40434,2013-04-12,Mammalia,GBIF
3282,Espírito Santo,NA,Pedra Suiça,-40.61742,-20.10153,2009-02-06,L.F.Oliveira,GBIF
3037,Espírito Santo,NA,Santa Lúcia,-40.54231,-19.96392,2007-08-01,Luciany Ferreira,GBIF
1183,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1987-02-01,Ivan Sazima,GBIF
160,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974-10-26,Otávio Cardozo de Oliveira; Ivan Sazima,GBIF
161,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1974-10-26,Otávio Cardozo de Oliveira; Ivan Sazima,GBIF
586,Minas Gerais,NA,"Serra do Cipó, estrada de Vespasiano a Conceição do Mato Dentro, km 110",-43.74472,-19.51361,1976-09-05,Wilson Uieda; Atílio Storti Filho,GBIF
3291,Espírito Santo,NA,Santo Izidório,-40.37903,-19.26728,2009-03-14,R.S.Cipriano,GBIF
43627,Minas Gerais,NA,SERRA DO CIPO,-43.60000,-19.26667,1974-10-26,"SAZIMA, I AND OLIVEIRA, D C; SAZIMA, I",GBIF
10342,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",SpeciesLink
10343,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",SpeciesLink
10344,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",SpeciesLink
10347,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1974,"Sazima, I. & Oliveira, O.C.",SpeciesLink
10408,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1975,"Oliveira, O.C. & Semir, J.",SpeciesLink
11410,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",SpeciesLink
11411,Minas Gerais,Jaboticatubas,Km 110 da MG-010 - PARNA Serra do Cipó - Defronte uma bauhinia rufa,-43.74540,-19.52210,1976,"Uieda, W. & Storti Filho, A.",SpeciesLink
15159,Rio de Janeiro,Angra dos Reis,Antigo Presídio da Ilha Grande - Celas abandonadas,-44.31770,-23.00650,1980,"Manuzzi, J.L.",SpeciesLink
