ID,nomecientifico,pais,estado,municipio,localidade,latitude,longitude
2005945532,Lonchophylla mordax Thomas,BR,Pernambuco,Buique,Furna do Gato - Serra do Catimbau,-8.623333,-37.155833
1323973295,Lonchophylla mordax Thomas,BR,Espirito Santo,Santa Teresa,Boqueirao,-19.935556,-40.600278
1323972769,Lonchophylla mordax Thomas,BR,Espirito Santo,Conceicao da Barra,Gruta de Itaunas,-18.593333,-39.732222
1211828595,Lonchophylla mordax Thomas,BR,Espirito Santo,NA,20 km N of Linhares,-19.366667,-40.066667
865728401,Lonchophylla mordax Thomas,BR,NA,NA,Bahia;Lamarao,-12.7333,-41.6167
476823728,Lonchophylla mordax Thomas,BR,Bahia,NA,"Cidade da Barra, Rio San Francisco",-10.716667,-42.183333
c5307d51-424a-486f-8724-2cccb3ee4403,Lonchophylla mordax,Brasil,Bahia,NA,Fazenda Barra Do Tijuipe (Área 2),-14.432078,-39.025671
7926d663-a43b-45e0-a417-dc5353b32052,Lonchophylla mordax,Brasil,Espirito Santo,NA,Sitio Joao Pagotto,-19.268331,-40.375831
77ea561e-2326-459b-9793-354d96e9c3be,Lonchophylla mordax,Brasil,Bahia,NA,Bom Jesus Da Lapa,-13.272028,-43.374167
4907c88e-fada-4d04-8f05-ab16285372fd,Lonchophylla mordax,Brasil,Sergipe,NA,Area Nao Se Encontra Dentro De Nenhuma Uc. Bioma Caatinga,-11.0666,-37.95
2ebcbbcc-fb24-4ca3-b222-bd362c938dd6,Lonchophylla mordax,Brasil,Espirito Santo,NA,Sitio Washington E Marilene,-20.1013,-40.6175
af91db74-6dbd-4464-89da-fc9de7c42737,Lonchophylla mordax,Brasil,Bahia,NA,Fazenda Saco Dos Buracos,-13.076306,-43.296917
9b98154c-5e29-4d1f-8b2d-64fcfd2349a4,Lonchophylla mordax,Brasil,Pernambuco,NA,Reserva Biologica De Saltinho,-8.736944,-35.16972
167fa0f5-7c37-4594-a913-ec3d861ac1b9,Lonchophylla mordax,Brasil,Minas Gerais,NA,Parque Nacional Cavernas Do Peruaçu,-15.495556,-44.3625
dd4f2de8-d2ec-4243-9a06-84b5395f07ac,Lonchophylla mordax,Brasil,Bahia,NA,Fazenda Barra Do Tijuipe (Área 1),-14.409826,-39.028721
d3897560-67ff-4eb1-a993-06deddc1b517,Lonchophylla mordax,Brasil,Paraiba,NA,Rppn Fazenda Almas,-7.466667,-36.883333
d4590257-43e4-408e-ad6a-f60f3b309656,Lonchophylla mordax,Brasil,Sergipe,NA,Caverna Casa De Pedra - Povoado Ribeira,-10.834167,-37.450556
d2a71a36-8901-4681-885b-4aec9accf4a2,Lonchophylla mordax,Brasil,Bahia,NA,Area De Cerrado Com Presença De Cavernas,-13.419783,-44.191378
9672c33a-ceb1-47a1-83f7-b359e101517f,Lonchophylla mordax,Brasil,Pernambuco,NA,Fazenda Tamandua,-7.088611,-37.456389
4a4a3907-3098-45cf-a09b-470709c239d5,Lonchophylla mordax,Brasil,Maranhao,NA,Pedra Grande,-3.53444,-43.839702
fb128b56-ea0a-4785-a4f6-f2792716189e,Lonchophylla mordax,Brasil,Bahia,NA,Fazenda Quincas,-13.34611,-43.284639
cc0b333f-76b8-4ad3-8ca3-c6886fc56489,Lonchophylla mordax,Brasil,Pernambuco,NA,Campus Da Universidade Federal Do Vale Do São Francisco,-9.33054,-40.541149
6038fb40-268e-4bef-916c-1aa11ccf54ea,Lonchophylla mordax,Brasil,Alagoas,NA,Serra Da Mao,-9.794167,-37.001944
c7349ae9-dc05-4f89-92b7-677e59a0f453,Lonchophylla mordax,Brasil,Espirito Santo,NA,Regencia,-19.63813,-39.88233
983fc65d-9836-48bc-8fdb-9043386f6f8b,Lonchophylla mordax,Brasil,Espirito Santo,NA,Estação Biologica de Santa Locia,-19.965,-40.54
f90e2a42-6a4e-445b-9a43-55d166e68d23,Lonchophylla mordax,Brasil,Bahia,NA,Toca Do Morrinho,-10.209142,-40.91815
f0e544b5-1d81-403c-97e7-4ae6d4425866,Lonchophylla mordax,Brasil,Maranhao,NA,Encruzo,-4.046968,-43.382448
ac7f9374-b9f9-4e30-b8f1-747cbfe8dc0a,Lonchophylla mordax,Brasil,Maranhao,NA,Tabocas,-5.097016,-44.34861
1757,Lonchophylla mordax,Brasil,Mato Grosso,Colider,Rio Teles Pires,-10.8178,-55.4508
10391,Lonchophylla mordax,Brasil,Pernambuco,Buique,Parna da Serra do Catimbau - Furna do Gato,-8.6233,-37.1559
10190,Lonchophylla mordax,Brasil,Bahia,Irece,NA,-11.3032,-41.857
2963,Lonchophylla mordax,Brasil,Espirito Santo,Muqui,Serra das Torres,-20.9517002105713,-41.3457984924316
