nomecientifico,longitude,latitude
Lonchophylla mordax Thomas,-37.155833,-8.623333
Lonchophylla mordax Thomas,-40.600278,-19.935556
Lonchophylla mordax Thomas,-39.732222,-18.593333
Lonchophylla mordax Thomas,-40.066667,-19.366667
Lonchophylla mordax Thomas,-41.6167,-12.7333
Lonchophylla mordax Thomas,-42.183333,-10.716667
Lonchophylla mordax,-39.025671,-14.432078
Lonchophylla mordax,-40.375831,-19.268331
Lonchophylla mordax,-43.374167,-13.272028
Lonchophylla mordax,-37.95,-11.0666
Lonchophylla mordax,-40.6175,-20.1013
Lonchophylla mordax,-43.296917,-13.076306
Lonchophylla mordax,-35.16972,-8.736944
Lonchophylla mordax,-44.3625,-15.495556
Lonchophylla mordax,-39.028721,-14.409826
Lonchophylla mordax,-36.883333,-7.466667
Lonchophylla mordax,-37.450556,-10.834167
Lonchophylla mordax,-44.191378,-13.419783
Lonchophylla mordax,-37.456389,-7.088611
Lonchophylla mordax,-43.839702,-3.53444
Lonchophylla mordax,-43.284639,-13.34611
Lonchophylla mordax,-40.541149,-9.33054
Lonchophylla mordax,-37.001944,-9.794167
Lonchophylla mordax,-39.88233,-19.63813
Lonchophylla mordax,-40.54,-19.965
Lonchophylla mordax,-40.91815,-10.209142
Lonchophylla mordax,-43.382448,-4.046968
Lonchophylla mordax,-44.34861,-5.097016
Lonchophylla mordax,-37.1559,-8.6233
Lonchophylla mordax,-41.857,-11.3032
Lonchophylla mordax,-41.3457984924316,-20.9517002105713
