nomecientifico,longitude,latitude
Mimosa lewisii,-41.39,-12.5631
Mimosa lewisii,-37.8339,-9.50194
Mimosa lewisii,-41.033333,-11.633333
Mimosa lewisii,-41.470833,-12.455556
Mimosa lewisii,-41.447222,-12.453611
Mimosa lewisii,-41.3899993896484,-12.563099861145
Mimosa lewisii,-38.353099822998,-11.7843999862671
Mimosa lewisii,-41.307139,-12.894722
Mimosa lewisii,-41.119167,-11.4975
Mimosa lewisii,-41.45,-12.5
Mimosa lewisii,-41.466667,-12.45
Mimosa lewisii,-10.15,-11.55
Mimosa lewisii,-41.010833,-11.672778
Mimosa lewisii,-38.3241996765137,-12.6975002288818
Mimosa lewisii,-41.15,-11.55
Mimosa lewisii,-37.1557998657227,-8.62306022644043
Mimosa lewisii,-38.898889,-10.345556
Mimosa lewisii,-41.6425,-13.6425
Mimosa lewisii,-41.285278,-11.975833
Mimosa lewisii,-42,-11
Mimosa lewisii,-41.1561012268066,-11.5500001907349
Mimosa lewisii,-41.5588989257812,-12.5289001464844
Mimosa lewisii,-38.127799987793,-9.73610973358154
Mimosa lewisii,-38.7867012023926,-10.9631004333496
Mimosa lewisii,-38.2332992553711,-11.3166999816895
Mimosa lewisii,-41.3708000183105,-13.0052995681763
Mimosa lewisii,-38.3333015441895,-11.3667001724243
Mimosa lewisii,-39.0074996948242,-11.6641998291016
Mimosa lewisii,-38.5358009338379,-10.834400177002
Mimosa lewisii,-38.516667,-11.1
Mimosa lewisii,-39,-11.65
Mimosa lewisii,-38.783333,-10.95
Mimosa lewisii,-38.510799407959,-12.9710998535156
Mimosa lewisii,-41.2966995239258,-13.8133001327515
Mimosa lewisii,-41.283333,-13.8
Mimosa lewisii,-38.2146987915039,-9.40610980987549
Mimosa lewisii,-38.316667,-12.683333
Mimosa lewisii,-41.440278,-12.459722
Mimosa lewisii,-41.45,-12.466667
Mimosa lewisii,-38.5,-12.966667
Mimosa lewisii,-37.89,-12.329167
Mimosa lewisii,-38.75,-11.415
Mimosa lewisii,-38.535556,-10.204444
Mimosa lewisii,-41.15,-11.216667
Mimosa lewisii,-38.318333,-12.92
Mimosa lewisii,-38.283333,-12.516667
Mimosa lewisii,-41.433333,-12.45
Mimosa lewisii,-37.8375,-12.311667
Mimosa lewisii,-40.9724998474121,-12.9863996505737
Mimosa lewisii,-38.35,-12.933333
Mimosa lewisii,-38.533333,-10.833333
Mimosa lewisii,-38.988056,-9.942778
Mimosa lewisii,-41.001389,-11.635833
Mimosa lewisii,-41.160556,-13.315556
Mimosa lewisii,-41.309722,-12.851111
Mimosa lewisii,-38.98,-9.949444
Mimosa lewisii,-41.274444,-12.945
Mimosa lewisii,-38.301111,-10.029167
Mimosa lewisii,-41.391389,-13.000278
Mimosa lewisii,-38.437778,-9.983333
Mimosa lewisii,-38.44,-9.983056
Mimosa lewisii,-41.45,-12.433333
Mimosa lewisii,-41.333333,-10.366667
Mimosa lewisii,-41.3314018249512,-12.8072004318237
Mimosa lewisii,-41.416667,-13.1
Mimosa lewisii,-41.333333,-12.533333
Mimosa lewisii,-38.3,-12.916667
Mimosa lewisii,-38.55,-10.833333
Mimosa lewisii,-41.433333,-12.466667
Mimosa lewisii,-41.383333,-12.566667
Mimosa lewisii,-38.366667,-12.966667
Mimosa lewisii,-41.056944,-11.602222
Mimosa lewisii,-38.65,-10.866667
Mimosa lewisii,-37.883333,-12.383333
Mimosa lewisii,-47.9296989440918,-15.7797002792358
Mimosa lewisii,-41.142222,-11.563333
Mimosa lewisii,-41.184444,-11.5375
Mimosa lewisii,-37.252222,-8.5327777
Mimosa lewisii,-41.416666,-12.457222
Mimosa lewisii,-41.47,-12.45
Mimosa lewisii,-411.192,-114.975
Mimosa lewisii,-41.30714,-12.88447
Mimosa lewisii,-41.0014,-11.62
Mimosa lewisii,-41.1192,-11.4975
