"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Georeferenced after occurrence date","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised","Unrecognized geodetic datum"
"8e60bfa6-94cf-414f-b2a3-fa8a5f2dd803","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","24885","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Barra do Jacuípe","-12.68333","-38.31667","","-12.68333","-38.31667","","","","-9999.0","0.0","","","","","","PreservedSpecimen","PreservedSpecimen","present","","true","true","Ribeiro, AF","Queiroz, LP de","","s/n","","","true","false","false","false","true","false","false","true","true","false","true","false","false","false","false","false"
"84b72d49-808c-4b30-8b76-dce43988aa8c","dr388","Amostras repatriadas de plantas vasculares do Brasil do Filed Museum de Chicago","","","","","CC0","V0164076F","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Field Museum","Botany","","-11.0","-42.0","","-11.0","-42.0","","Brazil","","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","G. Hatschbach","RRC ID Flag","1984-01-01","47462","","","true","true","false","false","true","false","false","true","true","false","true","false","false","false","false","false"
"a47f8afb-f4de-41b4-acf5-9c470fbd6a9c","dr248","Base de dados do Herbário (COR) da UFMS, Campus Pantanal","in27","Universidade Federal do Mato Grosso do Sul","co73","Herbário da Universidade Federal de Mato Grosso do Sul - Campus do Pantanal","","COR 16147","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFMS","COR","","","","","-8.62306","-37.1558","","Brazil","","","","","","","2011","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Silva,J.S. | Medeiros,E.B. | Medeiros-Filho,R.F.","","","989","","","true","false","true","false","false","false","false","false","false","false","true","true","false","false","false","false"
"a03f17a7-e7e0-4b69-80ce-3dfb51a4cfee","dr325","Herbário Professor Vasconcelos Sobrinho","in75","Universidade Federal Rural de Pernambuco","co176","Herbário Professor Vasconcelos Sobrinho","CC-BY-NC 4.0 (Int)","19308","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFRPE","PEUFR","Estrada Buíque-Catimbau","-8.61666699999999963","-37.1666669999999968","","-8.616667","-37.166667","","","","790.0","790.0","","","","1995","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","K. Andrade; L.S. Figueirêdo","A.P.S. Gomes","1995-08-02","90","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"9f24758a-5112-4662-8d25-4b4e444337d8","dr260","Herbário da Embrapa Recursos Genéticos e Biotecnologia","in44","Embrapa Recursos Genéticos e Biotecnologia","co139","Herbário do CENARGEN","CC-BY-NC 4.0 (Int)","83701","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Cenargen","CEN","Parque Nacional da Serra do Catimbau, próximo a pedra do Dragão","-8.53277770000000046","-37.2522220000000033","","-8.5327777","-37.252222","","","","911.0","911.0","","","1","2011","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Juliana S. Silva","J. S. Silva - UFRPe","2011-06-01","989","","","true","false","false","false","true","false","true","false","false","false","true","false","false","false","false","false"
"94275059-fce3-4c16-9217-d5ce9c8f96e1","dr247","Base de dados do Herbário da UnB","","","","","","140089","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","HUB","HUB","Rodovia Juazeiro-Senhor do Bonfim (BR-407) Km 100","-10.19","-40.1","","-10.19","-40.1","","","","-9999.0","0.0","","","","1983","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Coradin, LC","Simon, MF","2000-01-01","6014","","","true","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false"
"69a0ef0a-26e8-443c-a27b-461279600ca6","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","52527","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Litoral Norte, Massarandupió, a 20 km de Porto de Sauípe.","-12.31167","-37.8375","","-12.31167","-37.8375","","","","-9999.0","0.0","","","","2001","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Nascimento, AFS; Santana, DL; Guedes, ML","Guedes, ML","","307","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"5787b8e9-3431-48fa-94ff-ff7ce99ea97f","dr261","Base de dados do Herbário do Centro de Pesquisas do Cacau","in45","Comissão Executiva do Plano da Lavoura Cacaueira","co140","Herbário do Centro de Pesquisas do Cacau","CC-BY-NC","91756","291191","Mimosa lewisii","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","Litoral Norte, Massarandupió, a 20Km de Porto de Sauipe.","-12.3116669999999999","-37.8374999999999986","","-12.311667","-37.8375","","","","","","","","","2001","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","A. F. da S. Nascimento","M. L. Guedes","","307","","","true","false","false","false","true","false","false","false","false","false","true","true","false","false","false","false"
"29582e86-0656-4890-82a3-13b6c62ba392","dr260","Herbário da Embrapa Recursos Genéticos e Biotecnologia","in44","Embrapa Recursos Genéticos e Biotecnologia","co139","Herbário do CENARGEN","CC-BY-NC 4.0 (Int)","84611","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Cenargen","CEN","Mucugezinho, próximo à Toca dos Patos, na margem do rio Mucugezinho.","-12.4572219999999998","-41.4166659999999993","","-12.457222","-41.416666","","","","730.0","730.0","","","1","2012","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Luciano Paganucci de Queiroz","L. P. Queiroz","2012-06-01","15528","","","true","false","false","false","true","false","true","false","false","false","true","false","false","false","false","false"
"038ed2ad-8622-4597-9e18-49ba1f5cc805","dr247","Base de dados do Herbário da UnB","","","","","","140088","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","HUB","HUB","Rodovia Juazeiro-Senhor do Bonfim (BR-407) Km 100","-10.19","-40.1","","-10.19","-40.1","","","","-9999.0","0.0","","","","1983","06","PreservedSpecimen","PreservedSpecimen","present","","true","true","Coradin, LC","Simon, MF","2000-01-01","6011","","","true","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false"
