datelastmodified,scientificname,catalognumber,country,stateprovince,county,locality,latitude_final,longitude_final
2013-07-03T13:59:30Z,Mimosa lewisii,8164,Brasil,Bahia,Lençóis,"Brasil, Bahia, Lençois, Coqueiro.",-12.5631,-41.39
2016-06-27T19:09:46Z,Mimosa lewisii,17018,Brasil,Alagoas,Olho d'água do Casado,NA,-9.50194,-37.8339
2020-02-08T12:10:18Z,Mimosa lewisii,U.1309375,Brazil,NA,NA,"Estado da Bahia. Morro Do Chapeu. 19.5 km SE of the town of Morro do Chapeu on the BA052 road to Mundo Novo, by the Rio Ferro Doido.",-11.633333,-41.033333
2019-11-13T14:22:46Z,Mimosa lewisii,104211,Brasil,Bahia,Palmeiras,Morro do Pai Inácio,-12.455556,-41.470833
2019-11-13T14:22:46Z,Mimosa lewisii,105191,Brasil,Bahia,Lençóis,Serra da Chapadinha,-12.453611,-41.447222
2019-11-13T14:22:46Z,Mimosa lewisii,120915,Brasil,Bahia,Lençóis,Chapada Diamantina,-12.563099861145,-41.3899993896484
2019-11-13T14:22:46Z,Mimosa lewisii,153968,Brasil,Bahia,Inhambupe,NA,-11.7843999862671,-38.353099822998
2019-11-13T14:22:46Z,Mimosa lewisii,208852,Brasil,Bahia,Andaraí,"Na beira da estrada para Igatu, próximo à afloramento.",-12.894722,-41.307139
2019-11-13T14:22:46Z,Mimosa lewisii,214222,Brasil,Bahia,Morro do Chapéu,NA,-11.4975,-41.119167
2019-11-13T14:22:46Z,Mimosa lewisii,40156,Brasil,Bahia,Palmeiras,Km 232 da rodovia BR 242 para Ibotiram. Pai Inácio. Mata de Galeria in campo rupestre.,-12.5,-41.45
2019-11-13T14:22:46Z,Mimosa lewisii,67149,Brasil,Bahia,Palmeiras,Morro do Pai Inácio,-12.45,-41.466667
2019-11-19T18:44:34Z,Mimosa lewisii,10021,Brasil,Bahia,Morro do Chapéu,Cachoeira so ferro doido.,-11.55,-10.15
2019-11-19T18:44:34Z,Mimosa lewisii,10160,Brasil,Bahia,Morro do Chapéu,Chapada Diamantina.,-11.672778,-41.010833
2019-11-19T18:44:34Z,Mimosa lewisii,1033,Brasil,Bahia,Camaçari,Área próxima de Guarajuba.,-12.6975002288818,-38.3241996765137
2019-11-19T18:44:34Z,Mimosa lewisii,7176,Brasil,Bahia,Morro do Chapéu,"Rio do Ferro Doido, ca. 18 km leste da cidade na BR052",-11.55,-41.15
2019-08-02T13:21:28Z,Mimosa lewisii,3380,Brasil,Pernambuco,Buíque,Vale do Catimbau,-8.62306022644043,-37.1557998657227
2019-07-31T17:32:43Z,Mimosa lewisii,5711,Brasil,Bahia,Jeremoabo,NA,-10.345556,-38.898889
2019-07-31T17:32:54Z,Mimosa lewisii,6212,Brasil,Bahia,Mucugê,Alto do rio Paraguaçu,-13.6425,-41.6425
2019-08-02T13:21:28Z,Mimosa lewisii,904,Brasil,Bahia,Morro do Chapéu,"3,5 Km Morro do Chapéu - Salvador.",-11.975833,-41.285278
2018-05-14T20:33:18Z,Mimosa lewisii,V0164076F,Brazil,Bahia,NA,NA,-11,-42
2020-07-16T12:26:17Z,Mimosa lewisii,136588,Brazil,Bahia,Morro do Chapéu,"Rio do Ferro Doido, 19.5 km SE of Morro do Chapéu on the BA 052 highway to Mundo Novo",-11.5500001907349,-41.1561012268066
2020-07-16T12:26:17Z,Mimosa lewisii,136589,Brazil,Bahia,Palmeiras,"Serra dos Lençóis, Lower slopes of Morro do Pai Inácio ca. 14.5 km NW of Lençóis, just N of the main Seabra-Itaberaba road.",-12.5289001464844,-41.5588989257812
