datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2014-07-30 10:41:02-03"	CITSF	HXBH	015313	"Mimosa lewisii barneby"	S	Plantae				Fabaceae-Mimosoidae	Mimosa	"lewisii barneby"			"Queiroz, L. P."	1996	08	01				"Queiroz, L. P. et al."	1996	08	23				BR	BA	Inhambuque	"28 km de Inhambuque na BR 101"	0	0															"Flores com tépalas verde-esbranquiçadas e filetes brancos."	
"2013-07-03 10:59:30-03"	EBDA	BAH	8164	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"G. C. Pereira Pinto"	1988	11			137		"Estênio Oliveira,"	1988	09	15				Brasil	Bahia	Lençóis	"Brasil, Bahia, Lençois, Coqueiro."	0	0	-41.39	-12.5631	47385												"Flor branca. Arbusto."	
"2016-06-27 16:09:46-03"	UFPB	EAN	17018	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby						27			2010	07	23				Brasil	Alagoas	"Olho d'água do Casado"		0	0	-37.8339	-9.50194	24129													
"2020-02-08 09:10:18-03"	NBC	NL-BOTANY	U.1309375	"Mimosa lewisii"	PreservedSpecimen	Plantae		Magnoliopsidae	Fabales	Leguminosae-Mim.	Mimosa	lewisii		Barneby								"Harley RM; et al."	1977	03	02			"Southern America"	Brazil			"Estado da Bahia. Morro Do Chapeu. 19.5 km SE of the town of Morro do Chapeu on the BA052 road to Mundo Novo, by the Rio Ferro Doido."	-41.033333	-11.633333															"<a href=\"https://data.biodiversitydata.nl/naturalis/specimen/U.1309375\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"	NL-U1309375
"2019-11-13 11:22:46-03"	USP	SPF	104211	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Queiroz, LP"	1995	10			PCD1040		"Carvalho, AMV"	1994	10	26				Brasil	Bahia	Palmeiras	"Morro do Pai Inácio"	-41.470833	-12.455556					1080	1080										SPF00104211
"2019-11-13 11:22:46-03"	USP	SPF	105191	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Queiroz, LP"	1995	10			PCD329		"Pereira, A"	1994	07	30				Brasil	Bahia	Lençóis	"Serra da Chapadinha"	-41.447222	-12.453611					940	940										SPF00105191
"2019-11-13 11:22:46-03"	USP	SPF	120915	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Queiroz, LP"	1996	10			8		"Grillo, AA"	1996	08	16				Brasil	Bahia	Lençóis	"Chapada Diamantina"	0	0	-41.3899993896484	-12.563099861145	47385													SPF00120915
"2019-11-13 11:22:46-03"	USP	SPF	120916	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Queiroz, LP"	1996	10			88		"Conceição, AA"	1996	08	21				Brasil	Bahia	Lençóis	"Chapada Diamantina"	0	0	-41.3899993896484	-12.563099861145	47385													SPF00120916
"2019-11-13 11:22:46-03"	USP	SPF	153968	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Queiroz, LP"	1996	08			4546		"Queiroz, LP"	1996	08	23				Brasil	Bahia	Inhambupe		0	0	-38.353099822998	-11.7843999862671	34892													SPF00153968
"2019-11-13 11:22:46-03"	USP	SPF	208852	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Borges, LM"	2013				822		"Santos, MF"	2012	02	11				Brasil	Bahia	Andaraí	"Na beira da estrada para Igatu, próximo à afloramento."	-41.307139	-12.894722															"Arvoreta, 3 m alt. Ramos pensos, verde-vináceos. Ráquis da folha e pecíolo verde-vináceos. Cálice e corola verdes, estames alvos, anteras verdes. Amostra armazenada em sílica-gel. Material prensado em álcool.; Vegetação campestre, so"	SPF00208852
"2019-11-13 11:22:46-03"	USP	SPF	214222	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Silva, JS"	2009	08			26315		"Souza, VC"	2001	07	18				Brasil	Bahia	"Morro do Chapéu"		-41.119167	-11.4975					900	900										SPF00214222
"2019-11-13 11:22:46-03"	USP	SPF	36899	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	"Lewis, GP"	1984	12			CFCR7099		"Lewis, GP"	1984	12	17				Brasil	Bahia		"a 7 km de Andaraí, estrada para Mucugê."	0	0					425	425										SPF00036899
"2019-11-13 11:22:46-03"	USP	SPF	36924	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	Anônimo					CFCR7124		"Lewis, GP"	1984	12	19				Brasil	Bahia		"BR 242, entre o ramal a Lençóis e Pai Inácio."	0	0																SPF00036924
"2019-11-13 11:22:46-03"	USP	SPF	40156	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby					type	854		"Lewis, GP; Carvalho, AMV; Hage, JL"	1981	12	18				Brasil	Bahia	Palmeiras	"Km 232 da rodovia BR 242 para Ibotiram. Pai Inácio. Mata de Galeria in campo rupestre."	-41.45	-12.5					775	775									"Shrub to small tree to 4 m. overhanging river in more open aspects; upper surface of leaflets shiny dark-green, lower surface paler; young fruit green tinged red; mature fruit brown, papery; calyx pale yellow, corolla greenish, stame"	SPF00040156
"2019-11-13 11:22:46-03"	USP	SPF	67143	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	Anônimo					22861		"Harley, RM"	1980	05	31				Brasil	Bahia	"Morro do Chapéu"	"Rio do Ferro Doido, 19.5 km SE do Morro do Chapeu na BA 052 para Mundo Novo."	-41.033333	-11.633333					900	900										SPF00067143
"2019-11-13 11:22:46-03"	USP	SPF	67149	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae	Mimosa	lewisii		Barneby	Anônimo					22411		"Harley, RM"	1980	05	23				Brasil	Bahia	Palmeiras	"Morro do Pai Inácio"	-41.466667	-12.45					700	1000										SPF00067149
"2019-11-19 15:44:34-03"	UNEB	HUNEB	10021	"Mimosa lewisii"	PreservedSpecimen	Plantae	Angiospermae	Dicotyledoneae	Florideophycidae	Mimosaceae	Mimosa	lewisii								"ALCB 73272"			2006	05	01				Brasil	Bahia	"Morro do Chapéu"	"Cachoeira so ferro doido."	-10.15	-11.55																HUNEB0010021
"2019-11-19 15:44:34-03"	UNEB	HUNEB	10160	"Mimosa lewisii"	PreservedSpecimen	Plantae	Angiospermae	Dicotyledoneae	Florideophycidae	Mimosaceae	Mimosa	lewisii								"ALCB 75582"		"Guedes, M.L."	2006	12	09				Brasil	Bahia	"Morro do Chapéu"	"Chapada Diamantina."	-41.010833	-11.672778																HUNEB0010160
"2019-11-19 15:44:34-03"	UNEB	HUNEB	1033	"Mimosa lewisii"	PreservedSpecimen	Plantae	Angiospermae	Dicotyledoneae	Florideophycidae	Mimosaceae	Mimosa	lewisii		Barneby						32531		"Guedes, M.L."	1997	11	21				Brasil	Bahia	Camaçari	"Área próxima de Guarajuba."	0	0	-38.3241996765137	-12.6975002288818	37124												"Substrato arenoso."	HUNEB0001033
"2019-11-19 15:44:34-03"	UNEB	HUNEB	1340	"Mimosa lewisii"	PreservedSpecimen	Plantae	Angiospermae	Dicotyledoneae	Florideophycidae	Mimosaceae	Mimosa	lewisii		Barneby						24644		"Queiroz, L.P.de"	1996	08	23				Brasil	Bahia	Inhambupe	"Ca. 28 km de Inhambupe na estrada para Olindina (BR 110)."	0	0	-38.353099822998	-11.7843999862671	34892												"Transição cerrado-caatinga muito degradado, com plantações de Eucalyptus."	HUNEB0001340
"2019-11-19 15:44:34-03"	UNEB	HUNEB	7176	"Mimosa lewisii"	PreservedSpecimen	Plantae	Angiospermae	Dicotyledoneae	Florideophycidae	Mimosaceae	Mimosa	lewisii		Barneby						4543		"Noblick, L.R."	1986	05	16				Brasil	Bahia	"Morro do Chapéu"	"Rio do Ferro Doido, ca. 18 km leste da cidade na BR052"	-41.15	-11.55																HUNEB0007176
"2019-08-02 10:21:28-03"	CPATSA	HTSA	3380	"Mimosa lewisii"	PreservedSpecimen	Plantae				Fabaceae	Mimosa	lewisii		Barneby						11		D.N.Silva	2008	08	12				Brasil	Pernambuco	Buíque	"Vale do Catimbau"	0	0	-37.1557998657227	-8.62306022644043	38964		0	0									"Arbusto ca 2,0 m alt., caule amarronzado, folíolos esverdeados, inflorescência alva.; Caatinga."	
"2019-07-31 14:32:43-03"	CPATSA	HTSA	5711	"Mimosa lewisii"	PreservedSpecimen	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Ogasawara, H.A."					376		"Ogasawara, H.A.; Oliveira, P."	2013	12	07				Brasil	Bahia	Jeremoabo		-38.898889	-10.345556					0	0									"Arbusto: ca 1,9 m alt. Folhas discolores, sépalas esverdeadas, pétalas cremes, estames alvos a creme, frutos verdes de margem vinácea."	
"2019-07-31 14:32:54-03"	CPATSA	HTSA	6212	"Mimosa lewisii"	PreservedSpecimen	Plantae				Leguminosae-Mim.	Mimosa	lewisii		Barneby	"Queiroz, L.P. de"					295		Martins.C.T.V.D	2013	11	29				Brasil	Bahia	Mucugê	"Alto do rio Paraguaçu"	-41.6425	-13.6425					0	0									"Arbusto ca. 2,3m alt. Flores brancas."	
"2019-08-02 10:21:28-03"	CPATSA	HTSA	904	"Mimosa lewisii"	PreservedSpecimen	Plantae				Fabaceae	Mimosa	lewisii		Barneby						4172		"Fotius, G.; Sá, I.B. & Wanderley, M.G.L. das"	1985	09	26				Brasil	Bahia	"Morro do Chapéu"	"3,5 Km Morro do Chapéu - Salvador."	-41.285278	-11.975833					0	0									"Arbusto; Fl2; Fr2; Alt. 4-5m; Folha verde escuro brilhante acima, verde abaixo; espinhos estipulares retos. Caule jovem vermelho escuro (as vezes); Flor amarelo esverdeado claro, estames brancas; Fruto reto mas encurvado.&nf;; Beira de estrada em dique"	
"2018-05-14 17:33:18-03"	F	FMNH-SEEDPLANTS	V0164076F	"Mimosa lewisii"	PreservedSpecimen	Plantae	Spermatophyta	Dicotyledoneae		Fabaceae	Mimosa	lewisii			"RRC ID Flag"					47462	47462	"G. Hatschbach"						"South America"	Brazil	Bahia			-42	-11																V0164076F
"2020-07-16 09:26:17-03"	MBM	MBM	101441	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby	"Barneby, R."	1984			PARATYPE	30988		"Irwin, H.S.; Harley, R.M.; Smith, G.L.; Harley, R.M.; Smith, G.L."	1971	02	25			"Southern America"	Brazil	Bahia		"Serra da Água de Rega, Rio Riachão, ca. 27 km N of Seabra, road to Água de Rega"	0	0					1000	1000									"Armed shrub to ca. 3m tall, with long ascending branches. Heads white. Gallery margin. Cut-over gallery, exposed rocks, and adjacent cerrado; Armed shrub to ca. 3m tall, with long ascending branches. Heads white.; Gallery margin. Cur"	MBM101441
"2020-07-16 09:26:17-03"	MBM	MBM	105403	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					ISOTYPE	854		"Lewis, G.P.; et al.; et al."	1981	12	18			"Southern America"	Brazil	Bahia	Palmeiras	"km 232 da rodovia BR 242 para Ibotirama. Pai Inácio."	-41.45	-12.5					775	775									"Shrub to small tree to 4m, overhanging river in more open aspects upper surface of leaflets shiny dark-green; lower surface paler; ypung fruit green tinged red; mature fruit brown, papery; calyx pale yellow, corolla greenish, stames"	MBM105403
"2020-07-16 09:26:17-03"	MBM	MBM	136588	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					PARATYPE	22861		"Harley, R.M.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Santos, E.B"	1980	05	31			"Southern America"	Brazil	Bahia	"Morro do Chapéu"	"Rio do Ferro Doido, 19.5 km SE of Morro do Chapéu on the BA 052 highway to Mundo Novo"	0	0	-41.1561012268066	-11.5500001907349	98143		900	900									"Spiny shrub to 2m with spreading stems, with reddish bristles above. Calyx & corolla pale green, anthers greenish-yellow with rigid whitish filaments. Vegetation open acrub to closed low woodland in drier areas. This plant growing by"	MBM136588
"2020-07-16 09:26:17-03"	MBM	MBM	136589	"Mimosa lewisii"	S	Plantae				Fabaceae	Mimosa	lewisii		Barneby					PARATYPE	22411		"Harley, R.M.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Bromley, G.L.R.; Carvalho, A.M. de; Soares Nunes, J.M.; Hage, J.L.; Santos, E.B"	1980	05	23			"Southern America"	Brazil	Bahia	Palmeiras	"Serra dos Lençóis, Lower slopes of Morro do Pai Inácio ca. 14.5 km NW of Lençóis, just N of the main Seabra-Itaberaba road."	0	0	-41.5588989257812	-12.5289001464844	20767		700	1000									"Spiny shrub to 3.5 m. Leaves mid green glossy above, paler beneath. Calyx and corolla greenish white. Stamens white. Pods green, tinged redish brown. Open grassy slopes with marchy ground, low shrubs and low evergreen woodland in val"	MBM136589
