"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co68","Herbário Alexandre Leal Costa da UFBA","","Records provided by Herbário Alexandre Leal Costa da UFBA, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co68","","","","43"
"co156","Herbário Maria Eneyda P. Kaufmann Fidalgo","","Records provided by Herbário Maria Eneyda P. Kaufmann Fidalgo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co156","","","","1"
"co157","Herbário Dárdani de Andrade Lima","","Records provided by Herbário Dárdani de Andrade Lima, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co157","","","","4"
"co150","Herbário Vale do São Francisco","","Records provided by Herbário Vale do São Francisco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co150","","","","2"
"co316","Herbário do Trópico Semiárido","","Records provided by Herbário do Trópico Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co316","","","","3"
"dr272","Base de dados do Herbário Vale do São Francisco","","As informações depositadas no HVASF possuem finalidade científica, tecnológica e educacional. Os dados do HVASF podem ser utilizados desde que: seja citada corretamente a fonte; a utilização não tenha fins comerciais; os dados não sejam comercializados. Sob nenhuma hipótese o HVASF e demais instituições relacionadas, poderão ser responsabilizados por quaisquer prejuízos materiais e/ou imateriais causados à pessoas fisícas e/ou jurídicas. Qualquer pessoa física e/ou jurídica é responsável pela maneira como os dados do HVASF são utilizados.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr272","","","","2"
"dr388","Amostras repatriadas de plantas vasculares do Brasil do Filed Museum de Chicago","","Records provided by Amostras repatriadas de plantas vasculares do Brasil do Filed Museum de Chicago, accessed through ALA website.","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr388","","","","1"
"dr384","Amostras de plantas coletadas no Brasil do Naturalis Biodiversity Center, Leiden, Holanda","","Records provided by Amostras de plantas coletadas no Brasil do Naturalis Biodiversity Center, Leiden, Holanda, accessed through ALA website.","Creative Commons Zero (CC0) To the extent possible under law, the publisher has waived all rights to these data and has dedicated them to the Public Domain (CC0 1.0). Users may copy, modify, distribute and use the work, including for commercial purposes, without restriction.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr384","","","","1"
"in24","Universidade Federal de Sergipe","","Records provided by Universidade Federal de Sergipe, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in24","","","","3"
"in26","Universidade Estadual de Campinas","","Records provided by Universidade Estadual de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in26","","","","1"
