"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Coordinates are out of range for species","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Incomplete collection date","Invalid collection date","Name not in national checklists","Precision / range mismatch","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised"
"c5307d51-424a-486f-8724-2cccb3ee4403","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Barra Do Tijuípe (Área 2)","-14432078","-39025671","","-1.4432078E7","-3.9025671E7","","","","","","","","1","2014","03","PreservedSpecimen","PreservedSpecimen","present","","true","false","Rodrigo De Almeida Nobre","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"7926d663-a43b-45e0-a417-dc5353b32052","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Sitio João Pagotto","-19268331","-40375831","","-1.9268331E7","-4.0375831E7","","","","","","","","1","2009","03","PreservedSpecimen","PreservedSpecimen","present","","true","false","Rodrigo Lemes Martins","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"77ea561e-2326-459b-9793-354d96e9c3be","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Bom Jesus Da Lapa","-13272028","-43374167","","-1.3272028E7","-4.3374167E7","","","","","","","","1","2010","03","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"47df9020-9097-4962-b8f4-176997645a87","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Bom Jesus Da Lapa","-13272028","-43374167","","-1.3272028E7","-4.3374167E7","","","","","","","","1","2010","03","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"3d6cb7ae-46cc-4a4b-bba1-bdf5cd194dbc","dr177","Base de dados de Mastologia do Museu Goeldi","in6","Museu Paraense Emílio Goeldi","co113","Coleção Mastozoológica do Museu Goeldi","CC-BY-NC","MPEG.MAM 003885","236919","Lonchophylla mordax","","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","MPEG","MAM","Ilha Caratateua","","","GEO-SIRGAS2000_EGM-1246","","","","","","","","","","","1969","03","PreservedSpecimen","PreservedSpecimen","present","","true","","Novaes,  F.C.","","","","","","true","false","false","false","false","false","false","false","true","false","false","false","false","false"
"26fa2149-78f5-4d63-8849-2630958516d9","dr550","Coleção de Mamíferos do Museu de Zoologia da UNICAMP","in26","Universidade Estadual de Campinas","co346","Coleção de Mamíferos do Museu de Zoologia da UNICAMP","CC-BY-NC 4.0 (Int)","128","236919","Lonchophylla mordax","","Lonchophylla mordax","species","","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ZUEC","ZUEC-MAM","Furna do Gato - Serra do Catimbau","-8.62333333333329932","-37.1558333333329998","","-8.6233333333333","-37.155833333333","","","","","","","","Pele","1970","03","PreservedSpecimen","PreservedSpecimen","present","","true","true","Guerra, D.","","","","","","true","false","false","false","false","true","false","false","true","false","false","false","false","false"
"187e5d6a-a09c-444a-9ccf-23772d7745df","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Bom Jesus Da Lapa","-13272028","-43374167","","-1.3272028E7","-4.3374167E7","","","","","","","","1","2010","03","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"1201ed74-f14e-4444-971b-deba5ee98a3c","dr177","Base de dados de Mastologia do Museu Goeldi","in6","Museu Paraense Emílio Goeldi","co113","Coleção Mastozoológica do Museu Goeldi","CC-BY-NC","MPEG.MAM 003880","236919","Lonchophylla mordax","","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","MPEG","MAM","Ilha Caratateua","","","GEO-SIRGAS2000_EGM-1246","","","","","","","","","","","1969","03","PreservedSpecimen","PreservedSpecimen","present","","true","","Novaes,  F.C.","","","","","","true","false","false","false","false","false","false","false","true","false","false","false","false","false"
"95c6613b-be85-45ff-b2e3-b1ff581daf92","dr193","Base de dados de Mastozoologia do MZUSP","in36","Museu de Zoologia de São Paulo","co122","Coleção Mastozoológica do MZUSP","CC-BY","18195","236919","Lonchophylla mordax","","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","MZUSP","mastozoologiaMZUSP","Serrote das Lajes, 17 km S Exu","","","","","","","","","","","","","","1977","02","PreservedSpecimen","PreservedSpecimen","present","","true","","","","","","","","true","false","false","false","false","false","false","false","true","false","false","false","false","false"
"4907c88e-fada-4d04-8f05-ab16285372fd","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Área Não Se Encontra Dentro De Nenhuma Uc. Bioma Caatinga","-11066667","-37.95","","-1.1066667E7","-37.95","","","","","","","","17","2011","02","PreservedSpecimen","PreservedSpecimen","present","","true","false","Fábio Angelo Melo Soares","","","","","","true","true","false","false","true","true","false","false","true","false","true","false","false","false"
