Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.40286E-14,0.000000001,0,0.908142857,0,0
1.98656E-13,0.000000003,0,0.892142857,0,0
9.45848E-13,0.00000001,0.000000001,0.869,0,0
2.70356E-12,0.000000025,0.000000002,0.856142857,0,0
1.18294E-11,0.000000101,0.000000009,0.838714286,0,0
3.04625E-11,0.00000025,0.000000024,0.827857143,0,0
1.20125E-10,0.000001005,0.000000095,0.810714286,0,0
3.00052E-10,0.000002518,0.000000238,0.799714286,0,0
1.28228E-9,0.000010005,0.000001017,0.784714286,0,0
2.98585E-9,0.000025002,0.000002369,0.774285714,0,0
5.16899E-9,0.000050001,0.000004101,0.765714286,0,0
8.16038E-9,0.000100664,0.000006474,0.754857143,0,0
1.67234E-8,0.000251112,0.000013268,0.736571429,0,0
2.96511E-8,0.000501423,0.000023525,0.721285714,0,0
4.71234E-8,0.001001449,0.000037387,0.702571429,0,0
8.46714E-8,0.002506977,0.000067175,0.669,0,0
1.57627E-7,0.005004439,0.000125047,0.639285714,0,0
2.85046E-7,0.010017202,0.000226107,0.606285714,0,0
6.91643E-7,0.0250207,0.000548457,0.561285714,0,0
1.32489E-6,0.050097165,0.001050076,0.524857143,0,0
2.5687E-6,0.100092487,0.00203389,0.486714286,0,0
4.92281E-6,0.200314845,0.003890618,0.447857143,0,0
6.60883E-6,0.300318699,0.005216169,0.423,0,0
8.42913E-6,0.400493782,0.006643343,0.403857143,0,0
1.00704E-5,0.500231832,0.007926626,0.388428571,0,0
1.20489E-5,0.600686816,0.009469179,0.375428571,0,0
1.39371E-5,0.700401458,0.010936939,0.364428571,0,0
1.47875E-5,0.750698787,0.011596541,0.359428571,0,0
1.54033E-5,0.800492089,0.012073579,0.354714286,0,0
1.70644E-5,0.901045917,0.013358258,0.345857143,0,0
1.87468E-5,1.001283583,0.014655972,0.337857143,0,0
2.00256E-5,1.100304652,0.015640022,0.330571429,0,0
2.21017E-5,1.201449277,0.017233545,0.323714286,0,0
2.33735E-5,1.30162172,0.018207171,0.317428571,0,0
2.57782E-5,1.402428239,0.020042773,0.311571429,0,0
2.73743E-5,1.500526013,0.02125741,0.306285714,0,0
3.07512E-5,1.750834304,0.023817288,0.294,0,0
3.52532E-5,2.003342094,0.027209258,0.283142857,0,0
3.96796E-5,2.253764271,0.030521381,0.273571429,0,0
4.43361E-5,2.504038608,0.033981433,0.265,0,0
4.84707E-5,2.750254845,0.037033012,0.257428571,0,0
5.22459E-5,3.001230632,0.039802583,0.250285714,0,0
5.68134E-5,3.253247619,0.043132205,0.243714286,0,0
5.9997E-5,3.504632991,0.045439303,0.237571429,0,0
6.42748E-5,3.753194314,0.048521952,0.231857143,0,0
6.68637E-5,4.002963225,0.050377891,0.226428571,0,0
7.03566E-5,4.250613424,0.052870437,0.221285714,0,0
7.40187E-5,4.504039021,0.05546974,0.216285714,0,0
7.73853E-5,4.753896344,0.057846723,0.211571429,0,0
8.11616E-5,5.006812431,0.060498743,0.207,0,0
8.49304E-5,5.256374022,0.063130744,0.202714286,0,0
8.82976E-5,5.508024695,0.065469786,0.198571429,0,0
9.1619E-5,5.751571818,0.067765598,0.194714286,0,0
9.65006E-5,6.005383216,0.071119455,0.190857143,0,0
1.00039E-4,6.251744247,0.073535284,0.187285714,0,0
1.04483E-4,6.507801092,0.076551962,0.183714286,0.038461538,0
1.09438E-4,6.754428727,0.079892436,0.180428571,0.038461538,0
1.13638E-4,7.000704679,0.082704763,0.177285714,0.038461538,0
1.18636E-4,7.255438034,0.086029205,0.174142857,0.038461538,0
1.21807E-4,7.508216876,0.088126053,0.171142857,0.038461538,0
1.24609E-4,7.754493159,0.089971005,0.168285714,0.038461538,0
1.27849E-4,8.007218764,0.092095033,0.165428571,0.038461538,0
1.31181E-4,8.25279777,0.094269257,0.162714286,0.038461538,0
1.3627E-4,8.507031341,0.097569313,0.16,0.038461538,0
1.427E-4,8.757320269,0.101704895,0.157428571,0.038461538,0
1.4565E-4,9.00312263,0.103589246,0.155,0.038461538,0
1.51053E-4,9.254995792,0.107021179,0.152571429,0.038461538,0
1.55518E-4,9.500247577,0.109836762,0.150285714,0.038461538,0
1.59543E-4,9.752427538,0.112360108,0.148,0.038461538,0
1.63318E-4,10.010974116,0.11471424,0.145714286,0.038461538,0
1.70452E-4,10.261392129,0.119127622,0.143571429,0.038461538,0
1.737E-4,10.502546566,0.121123163,0.141571429,0.038461538,0
1.78563E-4,10.767495093,0.124093053,0.139428571,0.038461538,0
1.83625E-4,11.003537633,0.127163603,0.137571429,0.038461538,0
1.90432E-4,11.265227805,0.131258675,0.135571429,0.076923077,0
1.93253E-4,11.515171433,0.132944817,0.133714286,0.076923077,0
2.00678E-4,11.751501805,0.137351312,0.132,0.076923077,0
2.04413E-4,12.015260685,0.139550546,0.130142857,0.076923077,0
2.08104E-4,12.262449391,0.14171364,0.128428571,0.076923077,0
2.12706E-4,12.515126188,0.144394696,0.126714286,0.076923077,0
2.15736E-4,12.751298901,0.146151327,0.125142857,0.076923077,0
2.18694E-4,13.01218198,0.147858822,0.123428571,0.076923077,0
2.23163E-4,13.255129066,0.150425716,0.121857143,0.076923077,0
2.27502E-4,13.503318405,0.152903503,0.120285714,0.076923077,0
2.30614E-4,13.754965373,0.154671477,0.118714286,0.076923077,0
2.35316E-4,14.011828873,0.157328802,0.117142857,0.076923077,0
2.39455E-4,14.273405012,0.159654262,0.115571429,0.076923077,0
2.42047E-4,14.514412305,0.161104299,0.114142857,0.076923077,0
2.48571E-4,14.760715576,0.164731232,0.112714286,0.115384615,0
2.5169E-4,15.011035367,0.166453986,0.111285714,0.115384615,0
2.56967E-4,15.266015982,0.169353017,0.109857143,0.115384615,0
2.6037E-4,15.524273156,0.171211402,0.108428571,0.115384615,0
2.63278E-4,15.759889434,0.172793147,0.107142857,0.115384615,0
2.67559E-4,16.025811081,0.175111097,0.105714286,0.115384615,0
2.72038E-4,16.269637664,0.177521889,0.104428571,0.115384615,0
2.78177E-4,16.505930422,0.180803705,0.103142857,0.115384615,0
2.8628E-4,16.773624974,0.18509575,0.101857143,0.153846154,0
2.93298E-4,17.005273052,0.188776773,0.100714286,0.153846154,0
2.98431E-4,17.272233448,0.191448035,0.099428571,0.153846154,0
3.03916E-4,17.513839761,0.194282899,0.098285714,0.153846154,0
3.08954E-4,17.759223391,0.196869414,0.097142857,0.153846154,0
3.13437E-4,18.008321778,0.199157037,0.096,0.153846154,0
3.23335E-4,18.264194919,0.204162573,0.094857143,0.153846154,0
3.28853E-4,18.524869259,0.206925776,0.093714286,0.153846154,0
3.34655E-4,18.75680137,0.209810571,0.092714286,0.153846154,0
3.43247E-4,19.027838708,0.214044131,0.091571429,0.153846154,0
3.55959E-4,19.271210058,0.220225425,0.090571429,0.153846154,0
3.61506E-4,19.522810184,0.222892364,0.089571429,0.192307692,0
3.65475E-4,19.777385785,0.224789684,0.088571429,0.192307692,0
3.69982E-4,20.034848312,0.22693243,0.087571429,0.192307692,0
3.7283E-4,20.25808868,0.228280653,0.086714286,0.192307692,0
3.85384E-4,20.522933524,0.234167463,0.085714286,0.230769231,0
3.89644E-4,20.75587321,0.236144559,0.084857143,0.230769231,0
3.96027E-4,21.031410558,0.239087959,0.083857143,0.230769231,0
4.01861E-4,21.271238833,0.241758649,0.083,0.230769231,0
4.09555E-4,21.514679497,0.245251907,0.082142857,0.230769231,0
4.15553E-4,21.762263715,0.247953134,0.081285714,0.230769231,0
4.21174E-4,22.01324053,0.250467293,0.080428571,0.230769231,0
4.25542E-4,22.267545515,0.252409035,0.079571429,0.230769231,0
4.27801E-4,22.523670296,0.25340965,0.078714286,0.230769231,0
4.31403E-4,22.781306478,0.254999051,0.077857143,0.230769231,0
4.36174E-4,23.041718107,0.257094109,0.077,0.230769231,0
4.39265E-4,23.26064464,0.258445299,0.076285714,0.230769231,0
4.44474E-4,23.526396488,0.260711065,0.075428571,0.230769231,0
4.49653E-4,23.794699744,0.262949872,0.074571429,0.230769231,0
4.53608E-4,24.020388966,0.264650596,0.073857143,0.230769231,0
4.59667E-4,24.293869945,0.267241083,0.073,0.230769231,0
4.65489E-4,24.525613925,0.269712977,0.072285714,0.230769231,0
4.6803E-4,24.759299822,0.270786364,0.071571429,0.230769231,0
4.75014E-4,25.043101203,0.27372119,0.070714286,0.230769231,0
4.81666E-4,25.282967214,0.276494322,0.07,0.230769231,0
4.86639E-4,25.525269209,0.278554143,0.069285714,0.230769231,0
4.90992E-4,25.770449456,0.280347074,0.068571429,0.230769231,0
4.95812E-4,26.018070639,0.282322214,0.067857143,0.230769231,0
4.99473E-4,26.267522077,0.283815396,0.067142857,0.230769231,0
5.08027E-4,26.520524664,0.287279432,0.066428571,0.230769231,0
5.139E-4,26.77629862,0.289638479,0.065714286,0.230769231,0
5.18769E-4,27.034737181,0.291582536,0.065,0.230769231,0
5.22682E-4,27.294872933,0.293137238,0.064285714,0.230769231,0
5.26282E-4,27.504980116,0.294561566,0.063714286,0.230769231,0
5.29197E-4,27.768736473,0.295710565,0.063,0.230769231,0
5.32998E-4,28.034560588,0.297203407,0.062285714,0.230769231,0
5.42502E-4,28.304048563,0.300908389,0.061571429,0.230769231,0
5.47058E-4,28.521810652,0.302670327,0.061,0.230769231,0
5.54358E-4,28.79814904,0.305475734,0.060285714,0.230769231,0
5.58551E-4,29.020723802,0.307076427,0.059714286,0.230769231,0
5.74625E-4,29.304731498,0.313146497,0.059,0.230769231,0
5.7661E-4,29.534902797,0.313888586,0.058428571,0.230769231,0
